bairro,numero_quartos,numero_banheiros,vagas_carro,area_gourmet,mobiliado,varanda,imobiliaria,tipo,preco,Link
Fabricas,2,1,0,S,N,S,S,Apartamento,2450,https://domiciliumimoveis.com.br/imovel/1933/apartamento/fabricas/sao-joao-del-rei/1
Fabricas,2,1,0,S,N,S,S,Apartamento,2450,https://domiciliumimoveis.com.br/imovel/1932/apartamento/fabricas/sao-joao-del-rei/1
Fabricas,2,1,0,S,N,S,S,Apartamento,2450,https://domiciliumimoveis.com.br/imovel/1931/apartamento/fabricas/sao-joao-del-rei/1
Fabricas,2,1,0,S,N,S,S,Apartamento,2450,https://domiciliumimoveis.com.br/imovel/1930/apartamento/fabricas/sao-joao-del-rei/1
Parque Real,2,1,1,S,N,S,S,Apartamento,1900,https://domiciliumimoveis.com.br/imovel/1915/apartamento/parque-real/sao-joao-del-rei/1
Parque Real,2,1,1,S,N,S,S,Apartamento,1900,https://domiciliumimoveis.com.br/imovel/1914/apartamento/parque-real/sao-joao-del-rei/1
Vila Santo Antônio (Matosinhos),2,1,1,S,N,S,S,Apartamento,#ERROR!,https://domiciliumimoveis.com.br/imovel/1910/apartamento/vila-santo-antonio-Matosinhos/sao-joao-del-rei/1
Bela Vista,0,1,0,N,N,N,S,Ponto comercial,1100,https://domiciliumimoveis.com.br/imovel/1909/ponto-comercial/bela-vista/sao-joao-del-rei/1
Bonfim,3,2,1,S,N,N,S,Apartamento,1850,https://domiciliumimoveis.com.br/imovel/1898/apartamento/bonfim/sao-joao-del-rei/2
Jardim das Acacias,3,3,2,S,N,S,S,Casa,3500,https://domiciliumimoveis.com.br/imovel/1881/casa/jardim-das-acacias/sao-joao-del-rei/2
Matosinhos,0,2,0,N,N,N,S,Ponto comercial,3200,https://domiciliumimoveis.com.br/imovel/1879/ponto-comercial/Matosinhos/sao-joao-del-rei/2
Matosinhos,0,1,0,N,N,N,S,Ponto comercial,4400,https://domiciliumimoveis.com.br/imovel/1878/ponto-comercial/Matosinhos/sao-joao-del-rei/2
Colonia do Marcal,2,1,1,S,N,N,S,Apartamento,1400,https://domiciliumimoveis.com.br/imovel/1876/apartamento/colonia-do-marcal/sao-joao-del-rei/2
Bonfim,1,1,0,S,N,N,S,Kitnet,1055,https://domiciliumimoveis.com.br/imovel/1872/kitnet/bonfim/sao-joao-del-rei/2
Matosinhos,1,1,0,S,N,S,S,Apartamento,1420,https://domiciliumimoveis.com.br/imovel/1871/apartamento/matosinhos/sao-joao-del-rei/2
Fabricas,1,1,0,S,N,S,S,Kitnet,1100,https://domiciliumimoveis.com.br/imovel/1870/kitnet/fabricas/sao-joao-del-rei/2
Colonia do Marcal,0,0,0,N,N,N,S,Galpão,3100,https://domiciliumimoveis.com.br/imovel/1863/galpao/vila-sao-vicente-colonia-do-marcal/sao-joao-del-rei/2
